brands,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Coca-Cola,"72,537","68,945","69,637","70,453","67,394","67,525","67,000","65,324","66,667","68,734","70,452","71,861","77,839","79,213","81,563","78,423","73,102","69,733","66,341"
Microsoft,"70,196","65,068","64,091","65,174","61,372","59,941","56,926","58,709","59,007","56,647","60,895","59,087","57,853","59,546","61,154","67,670","72,795","79,999","92,715"
IBM,"53,183","52,752","51,188","51,767","53,791","53,376","56,201","57,090","59,031","60,211","64,727","69,905","75,532","78,808","72,244","65,095","52,500","46,829","42,972"
Intel,"39,048","34,665","30,861","31,112","33,499","35,588","32,319","30,954","31,261","30,636","32,015","35,217","39,385","37,257","34,153","35,415","36,952","39,459","43,293"
Nokia,"38,528","35,035","29,970","29,440","24,041","26,452","30,131","33,696","35,942","34,864","29,495","25,071","21,009",,,,,,
GE,"38,127","42,396","41,311","42,340","44,111","46,996","48,907","51,569","53,086","47,777","42,808","42,808","43,682","46,947","45,480","42,267","43,130","44,208","32,737"
Ford,"36,368","30,092","20,403","17,066","14,475","13,159","11,056","8,982","7,896","28,447","7,195","7,483","7,958","9,181","10,876","11,578","12,962","13,643","13,995"
Disney,"33,553","32,591","29,256","28,036","27,113","26,441","27,848","29,210","29,251","28,447","28,731","29,018","27,438","28,147","32,223","36,514","38,790","40,772","39,874"
McDonald's,"27,859","25,289","26,375","24,699","25,001","26,014","27,501","29,398","31,049","32,275","33,578","35,593","40,062","41,992","42,254","39,809","39,381","41,533","43,417"
AT&T,"25,548","22,828","16,059",,,,,,,,,,,,,,,,
Marlboro,"22,110","22,053","24,151","22,183","22,128","21,189","21,350","21,282","21,300","19,010","19,961",,,,,,,,
Mercedes-Benz,"21,104","21,728","21,010","21,371","21,331","20,006","21,795","23,568","25,577","23,867","25,179","27,445","30,097","31,904","34,338","36,711","43,490","47,829","48,601"
HP,"20,572","17,983","16,776","19,860","20,978","18,866","20,458","22,197","23,509","24,096","26,867","28,479","26,087","25,843","23,758","23,056","10,386","9,541","10,433"
Cisco,"20,067","17,209","16,222","15,789","15,948","16,592","17,532","19,099","21,306","22,030","23,219","25,309","27,197","29,053","30,936","29,854","30,948","31,930","34,575"
Toyota,"18,823","18,578","19,448","20,784","22,673","24,837","27,941","32,070","34,050","31,330","26,192","27,764","30,280","35,346","45,392","49,048","53,580","50,291","53,404"
Citi,"18,809","19,005","18,066","18,571","19,971","19,967","21,458","23,442","20,174","10,254","8,887","8,620","7,570","7,973","8,737","9,784","10,276","10,599","11,577"
Gillette,"17,358","15,298","14,959","15,978","16,723","17,534","19,579","20,415","22,689","22,841","23,298","23,997","24,898","25,105","22,845","22,218","19,950","18,200","16,864"
Sony,"16,409","15,005","13,899","13,153","12,759","10,754","11,695","12,907","13,583","11,953","11,356","9,880","9,111","8,408","8,133","7,702","8,315","8,474","9,316"
American Express,"16,122","16,919","16,287","16,833","17,683","18,559","19,641","20,827","21,940","14,971","13,944","14,572","15,702","17,646","19,510","18,922","18,358","17,787","19,139"
Honda,"15,244","14,638","15,064","15,625","14,874","15,788","17,049","17,998","19,079","17,803","18,506","19,431","17,280","18,490","21,673","22,975","22,106","22,696","23,682"
Amazon,"4,528","3,130","3,175","3,403","4,156","4,248","4,707","5,411","6,434","7,858","9,665","12,758","18,625","23,620","29,478","37,948","50,338","64,796","100,764"
Apple,"6,594","5,464","5,316","5,554","6,871","7,985","9,130","11,037","13,724","15,433","21,143","33,492","76,568","98,316","118,863","170,276","178,119","184,154","214,480"
BMW,"12,969","13,858","14,425","15,106","15,886","17,126","19,617","21,612","23,298","21,671","22,322","24,554","29,052","31,839","34,214","37,212","41,535","41,521","41,006"
Google,,,,,,"8,461","12,376","17,837","25,590","31,980","43,557","55,317","69,726","93,291","107,439","120,314","133,252","141,703","155,506"
Samsung,"5,223",6374,"8,310","10,846","12,553","14,956","16,169","16,853","17,689","17,518","19,491","23,430","32,893","39,610","45,462","45,297","51,808","56,249","59,890"
Louis Vuitton,"6,887",7053,"7,054","6,708","6,602","16,077","17,606","20,321","21,602","21,120","21,860","23,172","23,577","24,893","22,552","22,250","23,998","22,919","28,152"
Facebook,,,,,,,,,,,,,"5,421","7,732","14,349","22,029","32,593","48,188","45,168"
